date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:23:34	63012/63012	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Oct%202007%2004:57:36%20GMT	https://www.smartpiggybank.com/images/tour/parentSummaryTwoAccts.jpg	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/images/tour/parentSummaryTwoAccts.jpg	(from https://www.smartpiggybank.com/help/tour?num=12)
13:23:35	800/800	---M--	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2008:01:15%20GMT	https://www.smartpiggybank.com/help/tour?num=15	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/help/tour328c.html	(from https://www.smartpiggybank.com/help/tour?num=14)
13:23:35	48731/48731	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Oct%202007%2004:57:36%20GMT	https://www.smartpiggybank.com/images/tour/parentSettings.jpg	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/images/tour/parentSettings.jpg	(from https://www.smartpiggybank.com/help/tour?num=13)
13:23:35	1341/1341	---M--	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2008:01:16%20GMT	https://www.smartpiggybank.com/help/tour?num=16	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/help/tour52b4.html	(from https://www.smartpiggybank.com/help/tour?num=15)
13:23:35	75811/75811	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Oct%202007%2004:57:36%20GMT	https://www.smartpiggybank.com/images/tour/homePage2.jpg	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/images/tour/homePage2.jpg	(from https://www.smartpiggybank.com/help/tour?num=14)
13:23:36	1132/1132	---M--	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2008:01:17%20GMT	https://www.smartpiggybank.com/help/tour?num=17	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/help/tour2da5.html	(from https://www.smartpiggybank.com/help/tour?num=16)
13:23:36	45302/45302	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Oct%202007%2004:57:36%20GMT	https://www.smartpiggybank.com/images/tour/kidsLogin.jpg	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/images/tour/kidsLogin.jpg	(from https://www.smartpiggybank.com/help/tour?num=15)
13:23:37	692/692	---M--	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2008:01:17%20GMT	https://www.smartpiggybank.com/help/tour?num=18	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/help/tourf7de.html	(from https://www.smartpiggybank.com/help/tour?num=17)
13:23:37	114461/114461	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Oct%202007%2004:57:36%20GMT	https://www.smartpiggybank.com/images/tour/summaryKids.jpg	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/images/tour/summaryKids.jpg	(from https://www.smartpiggybank.com/help/tour?num=16)
13:23:37	81515/81515	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Oct%202007%2004:57:36%20GMT	https://www.smartpiggybank.com/images/tour/searchResults.jpg	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/images/tour/searchResults.jpg	(from https://www.smartpiggybank.com/help/tour?num=17)
13:23:37	31043/31043	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Oct%202007%2004:57:36%20GMT	https://www.smartpiggybank.com/images/tour/logout.jpg	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/images/tour/logout.jpg	(from https://www.smartpiggybank.com/help/tour?num=18)
